,정상영업이익증가율_fwd,순이익증가율_fwd,1주당순이익_fwd,부채비율_fwd,매출액정상영업이익률_fwd,매출액증가율_fwd,PER_fwd,PBR_fwd,PCR_fwd
2007-06-30,-0.009027640419300854,-0.009027640419300854,0.025274589324485203,-0.0041328329070627196,0.021340794469492344,-0.009027640419300854,-0.07388304634635237,0.009027640419300854,-0.12198414604768658
2007-12-31,0.00834927558456458,0.00834927558456458,-0.18085159790946492,0.10945128594119527,-0.16989141598485835,0.00834927558456458,0.1662402965878198,0.28179115818576694,0.0961464049365757
2008-06-30,-0.1372856326926001,-0.05017019372092646,0.09471435854650487,0.16659392244263505,0.06987931221180155,-0.05517799428842285,0.056654098852001344,0.03331930450770454,-0.14420479772146755
2008-12-31,-0.034777818600904675,-0.22876371240680404,-0.16147910998671522,0.0365301839095179,-0.1011655017728535,-0.32239551763603974,-0.1807666605051429,0.011190500412651821,0.04925668238209677
2009-06-30,-0.08267550617111202,-0.0037148373218349184,0.0855263550726324,0.10687354775683527,-0.00020320038866800116,-0.1570844872575251,-0.0319967611856124,-0.0021376589874825824,-0.09827959712287945
2009-12-31,0.1651371744518108,0.09548195385600787,-0.10268988904659276,-0.10985233053627384,-0.02237718922214446,0.08665650544926477,0.08413308849204669,0.019279349194775378,0.09320280353572952
2010-06-30,0.2260776072296813,0.03755435033295257,0.195286119054857,-0.029763076072658823,0.05097092650268853,0.06232756564239203,0.024142540693504216,-0.03576965086619141,0.0192672596429542
2010-12-31,0.12546575929751924,0.04783492558320916,0.05436649503827165,-0.0032788887747335627,0.02763678089311919,-0.04233056661131744,0.027476946815965714,0.08444137171991102,0.024927200163159566
2011-06-30,-0.027835711824667424,-0.07872180420630243,0.09210950950276564,0.17090513907868732,0.16758209487738088,0.05584619365379546,-0.1127232595565962,-0.020885467886590764,-0.07903018420241625
2011-12-31,-0.005471002347282053,0.003991738995957067,0.024586752105566465,-0.01236175693238619,0.08592881934506855,-0.03436111140186131,-0.011978360810662676,-0.06309701261611148,-0.07422629648562233
2012-06-30,0.12494956589689231,0.06564073412435961,0.021529526589440087,0.1198188879264946,0.07724201476850712,0.08876566029559263,0.06353576334147601,0.021964175134389224,-0.050471074381632966
2012-12-31,0.1404110190365519,0.11152893075261305,0.040159277952152996,0.28220854604324364,0.20579479161818953,0.1532527240167937,-0.0896014323281494,0.019733616030821084,0.025859263836386218
2013-06-30,-0.07716930132652085,-0.03476628969176514,0.0977994101673704,0.0972326723721396,0.07777169414678556,-0.029307936202887713,-0.012306873260468643,-0.017079800670664155,-0.025533678414752417
2013-12-31,0.045732734059939065,0.11979597607603265,0.1397357014244015,0.167271123840805,0.18261885658348653,0.1208631690835866,-0.044228365277384364,-0.046663182236884315,0.024733612330416852
2014-06-30,0.2245022280395058,0.10933036341991384,0.03275893896784729,0.12960905266041833,0.0918760258358525,0.2855649392053191,0.006198705123540614,0.004158250256569218,-0.1274954346274426
2014-12-31,0.24003957081494126,0.2597945814377734,-0.07839967158425173,-0.01883086129943612,0.040182273354197856,0.5878519560864015,-0.4678628279663799,-0.22549158961898355,-0.2897313715897804
2015-06-30,-0.0015589637504781623,0.05519535605636329,0.16944064919069002,0.09129013761982364,0.023480549181616323,0.02577798609859444,0.0030261365265984996,-0.020523994908771784,-0.05554783016627928
2015-12-31,-0.05995896655466987,-0.00928946583765832,-0.08180288002203921,-0.13257442537285125,-0.020651937818454952,-0.029203462472414125,0.11175651722767158,0.13845212914393407,0.018941141975390825
2016-06-30,0.021039204477680096,0.06536122135066894,0.01640432455757386,0.00011099747924790074,-0.09316432076022174,-0.18613038166387919,0.16914869108927313,0.005309115483117702,0.12192054991395893
2016-12-31,-0.09442168236960627,-0.12004704971355655,-0.14431322908962463,0.1138352209996658,-0.09202828247650124,-0.031834517939674456,0.06695831450872197,0.06985630547147147,0.06559666668251699
2017-06-30,0.27497700080938153,0.14262096962321189,0.056969898773627896,0.1722412528104768,0.04758271297347085,0.09852779647620935,-0.07181851786445369,0.017827454924334567,-0.1747987000052999
2017-12-31,0.10894701317260529,0.015844939844309704,-0.04721919227177765,-0.08860395483342651,-0.05070630359858037,0.01753556799751327,0.10645881100801614,0.07872494122545237,-0.0730486997845815
2018-06-30,-0.009609748758378698,-0.1109652917388072,-0.08456642480474998,-0.015203290743726006,-0.027130326457495656,-0.07151044081691692,0.05275266927677899,0.01304697456073389,0.034145707951370674
2018-12-31,0.061976459231823676,0.04831791790549814,0.09066660230332156,0.07152901270115736,0.07797751405091857,0.038996082660849835,0.04778041019712105,0.021420346843691884,0.04683304531727101
2019-06-30,-0.0031452494486051185,-0.00932705111523827,-0.013995596869182121,-0.05335906403318233,0.12296396322469132,0.02066775380261439,-0.0168942632944979,0.009194320883210698,-0.04841074880059311
2019-12-31,0.05347084551037164,-0.007283670846807273,-0.05586815908319097,0.07319366806854447,0.07734474103253837,0.022408156977184575,-0.18297391111078182,-0.14899123755984578,-0.18693740304128897
2020-06-30,0.03170147711037041,-0.03229555911833809,-0.09813113120603023,-0.11135321021444317,-0.017419637836997348,-0.05050030896281227,0.094519315650615,-0.007857845912369044,-0.01766770768733844
2020-12-31,-0.02516260421289418,-0.1190989045399119,-0.09066937987893295,-0.36645795499994704,-0.07555715133725524,-0.1350993605801317,0.10509074278895313,0.24134094569224332,0.10054062561225585
2021-06-30,-0.0026388071342043906,0.0036267580136263022,0.05291764763401566,0.0859595557027188,-0.05433364968912622,-0.011786365701616286,-0.04915265268195992,0.032408854837756323,0.004195265613090082
2021-12-31,0.014262900555521207,0.012887752607769004,-0.039548727432009614,-0.12665649246203486,-0.18245175229792893,-0.10234853256567185,0.08859236815079562,0.12759064405443224,0.059311675374956435
2022-06-30,-0.03924889653312741,0.014026736892807597,-0.022844613546405663,-0.008142321094496276,-0.05346666307181111,0.0016041756958060857,0.0238350706970172,0.008330876005611984,0.061600649475263634
2022-12-31,0.030294358527474446,0.064529151931508,-0.05652558271400629,-0.19647216507418497,-0.009178807699029679,0.06120994283597617,0.022860944667231486,-0.10186147005200573,0.020297559610176097
